iter	Passed	Remaining
247	4234	6009
248	4241	5979
249	4254	5956
250	4273	5942
251	4292	5927
252	4310	5912
253	4332	5901
254	4350	5885
255	4366	5867
256	4383	5849
257	4398	5830
258	4413	5810
259	4427	5789
260	4442	5769
261	4455	5748
262	4470	5728
263	4484	5707
264	4497	5685
265	4510	5663
266	4523	5641
267	4536	5620
268	4550	5598
269	4562	5576
270	4575	5554
271	4588	5532
272	4601	5511
273	4614	5490
274	4627	5468
275	4640	5447
276	4653	5425
277	4660	5397
278	4672	5376
279	4685	5354
280	4698	5333
281	4711	5312
282	4726	5294
283	4741	5275
284	4756	5256
285	4772	5239
286	4788	5222
287	4802	5203
288	4817	5184
289	4820	5153
290	4835	5134
291	4850	5116
292	4868	5100
293	4888	5087
294	4915	5082
295	4955	5089
296	4995	5096
297	5018	5085
298	5042	5076
299	5091	5091
300	5112	5078
301	5133	5065
302	5137	5035
303	5159	5023
304	5181	5011
305	5203	4999
306	5224	4986
307	5250	4977
308	5274	4967
309	5295	4954
310	5319	4943
311	5344	4933
312	5366	4921
313	5383	4903
314	5402	4887
315	5421	4872
316	5426	4844
317	5443	4827
318	5466	4815
319	5491	4804
320	5510	4789
321	5523	4769
322	5538	4749
323	5552	4729
324	5567	4711
325	5582	4691
326	5596	4672
327	5610	4652
328	5624	4632
329	5638	4613
330	5652	4593
331	5666	4574
332	5680	4554
333	5694	4535
334	5708	4515
335	5723	4496
336	5737	4477
337	5740	4449
338	5754	4430
339	5767	4410
340	5781	4391
341	5797	4373
342	5813	4355
343	5829	4338
344	5847	4321
345	5857	4299
346	5874	4282
347	5889	4264
348	5904	4246
349	5920	4229
350	5937	4211
351	5964	4202
352	6006	4202
353	6097	4237
354	6122	4225
355	6154	4218
356	6178	4205
357	6210	4198
358	6236	4186
359	6256	4170
360	6277	4155
361	6298	4141
362	6322	4128
363	6346	4114
364	6369	4101
365	6393	4087
366	6413	4071
367	6433	4055
368	6454	4040
369	6472	4023
370	6489	4005
371	6505	3987
372	6522	3969
373	6540	3952
374	6555	3933
375	6571	3915
376	6587	3896
377	6602	3877
378	6618	3859
379	6632	3839
380	6647	3820
381	6661	3801
382	6676	3782
383	6690	3763
384	6704	3743
385	6718	3724
386	6732	3705
387	6746	3686
388	6760	3667
389	6774	3647
390	6789	3629
391	6791	3603
392	6805	3584
393	6819	3565
394	6833	3546
395	6848	3527
396	6863	3509
397	6880	3492
398	6896	3474
399	6913	3456
400	6931	3439
401	6946	3421
402	6960	3402
403	6976	3384
404	6993	3367
405	7016	3352
406	7043	3340
407	7075	3329
408	7120	3325
409	7147	3312
410	7176	3300
411	7214	3292
412	7236	3276
413	7258	3260
414	7280	3245
415	7300	3229
416	7323	3214
417	7346	3198
418	7370	3184
419	7396	3169
420	7416	3153
421	7436	3136
422	7456	3120
423	7477	3103
424	7496	3086
425	7512	3068
426	7529	3050
427	7547	3033
428	7563	3014
429	7579	2996
430	7594	2977
431	7610	2959
432	7626	2941
433	7641	2922
434	7655	2903
435	7669	2884
436	7684	2866
437	7698	2847
438	7713	2828
439	7727	2809
440	7741	2791
441	7756	2772
442	7770	2753
443	7784	2735
444	7799	2716
445	7814	2698
446	7828	2679
447	7842	2661
448	7857	2642
449	7871	2623
450	7886	2605
451	7903	2587
452	7919	2570
453	7937	2552
454	7955	2535
455	7972	2517
456	7987	2499
457	8003	2481
458	8019	2463
459	8043	2448
460	8084	2437
461	8118	2424
462	8157	2413
463	8182	2398
464	8212	2384
465	8242	2370
466	8265	2353
467	8284	2336
468	8303	2319
469	8325	2302
470	8349	2286
471	8372	2270
472	8397	2254
473	8419	2237
474	8438	2220
475	8459	2203
476	8480	2186
477	8500	2169
478	8516	2151
479	8534	2133
480	8552	2115
481	8569	2097
482	8585	2079
483	8600	2061
484	8615	2042
485	8630	2024
486	8646	2006
487	8660	1987
488	8674	1969
489	8689	1950
490	8703	1932
491	8718	1913
492	8733	1895
493	8747	1877
494	8762	1858
495	8776	1840
496	8791	1821
497	8806	1803
498	8819	1785
499	8833	1766
500	8848	1748
501	8862	1730
502	8876	1711
503	8892	1693
504	8910	1676
505	8927	1658
506	8945	1640
507	8965	1623
508	8981	1605
509	8997	1587
510	9012	1569
511	9029	1551
512	9050	1534
513	9073	1518
514	9099	1501
515	9141	1488
516	9177	1473
517	9202	1456
518	9226	1440
519	9249	1422
520	9278	1406
521	9301	1389
522	9320	1372
523	9339	1354
524	9361	1337
525	9384	1320
526	9403	1302
527	9422	1284
528	9442	1267
529	9464	1250
530	9486	1232
531	9506	1215
532	9526	1197
533	9547	1180
534	9568	1162
535	9590	1145
536	9608	1127
537	9626	1109
538	9642	1091
539	9657	1073
540	9674	1055
541	9689	1036
542	9706	1018
543	9722	1000
544	9738	982
545	9753	964
546	9768	946
547	9783	928
548	9798	910
549	9812	892
550	9828	873
551	9842	855
552	9856	837
553	9871	819
554	9886	801
555	9901	783
556	9916	765
557	9931	747
558	9946	729
559	9962	711
560	9978	693
561	9994	675
562	10009	657
563	10025	639
564	10040	621
565	10055	604
566	10070	586
567	10085	568
568	10100	550
569	10115	532
570	10130	514
571	10145	496
572	10160	478
573	10176	460
574	10193	443
575	10209	425
576	10225	407
577	10241	389
578	10257	372
579	10273	354
580	10289	336
581	10308	318
582	10332	301
583	10364	283
584	10417	267
585	10445	249
586	10474	231
587	10506	214
588	10529	196
589	10548	178
590	10570	160
591	10593	143
592	10612	125
593	10633	107
594	10654	89
595	10677	71
596	10697	53
597	10716	35
598	10735	17
599	10755	0
